C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/28/2017,00:00:00,REGULAR,6156153,2084732
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/28/2017,04:00:00,REGULAR,6156186,2084739
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/28/2017,08:00:00,REGULAR,6156226,2084844
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/28/2017,12:00:00,REGULAR,6156411,2085130
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/28/2017,16:00:00,REGULAR,6156706,2085208
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/28/2017,20:00:00,REGULAR,6157479,2085283
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/28/2017,00:00:00,REGULAR,5579067,1235592
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/28/2017,04:00:00,REGULAR,5579082,1235595
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/28/2017,08:00:00,REGULAR,5579104,1235645
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/28/2017,12:00:00,REGULAR,5579265,1235784
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/28/2017,16:00:00,REGULAR,5579545,1235827
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/28/2017,20:00:00,REGULAR,5580208,1235885
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/28/2017,00:00:00,REGULAR,903880,3354718
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/28/2017,04:00:00,REGULAR,903889,3354732
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/28/2017,08:00:00,REGULAR,903909,3354996
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/28/2017,12:00:00,REGULAR,903972,3355762
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/28/2017,16:00:00,REGULAR,904094,3356129
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/28/2017,20:00:00,REGULAR,904390,3356691
